17707.eth,ef1b9e5f-0197-42b6-91ed-5d1bf895383a,erc20-balance-of,CLONEX,1,0x060f14ca29e49523585cb1b40adaaa27e3445ac0
abracadabrabymerlinthemagician.eth,beb07b31-49ee-4885-9e70-b0001bd7a4cd,erc20-balance-of,sSPELL,1,0x958Da0fc423E716554e67Dff80921d171E6741b3
adv3nture.eth,f4b0b94d-e86e-4631-aeb7-9c0d57fb0a83,erc20-balance-of,GEM,42161,0x458a2df1A5C74C5dc9eD6E01Dd1178E6D353243B
aggregatedfinance.eth,09379fdb-5314-4d79-9917-01fd18ef09fb,erc20-balance-of,AGFI,1,0x4D0F56d728c5232ab07fAA0BdcbA23670A35451f
aladdindao.eth,fac7ddc4-9a3a-4a6f-9eba-4d7b1c48ddfd,erc20-balance-of,wxALD,1,0xBDC423927e70E4013A7906FE54ad8209643f734C
aladdindao.eth,fac7ddc4-9a3a-4a6f-9eba-4d7b1c48ddfd,erc20-balance-of,xALD,1,0xb13B85363A25c7361877EebaEcCed99e353F2aF9
alluo.eth,307edd95-8377-4c81-9756-d4ea5f6f10f8,erc20-balance-of,vlALLUO,1,0xdEBbFE665359B96523d364A19FceC66B0E43860D
altgodao.eth,12aafaf8-428a-4c79-aa7c-a254c0c9a513,erc20-balance-of,ALTGO,1,0x00381E775C3bEBd800b4C31c70C3B9ED06aEc962
anglegovernance.eth,50783138-3619-4816-aa96-63a85a640c04,erc20-balance-of,veANGLE,1,0x0C462Dbb9EC8cD1630f1728B2CFD2769d09f0dd5
apecoin.eth,770469de-06ff-42c3-a320-c81cabe83ba8,erc20-balance-of,APE,1,0x4d224452801aced8b2f0aebe155379bb5d594381
apecoin.eth,770469de-06ff-42c3-a320-c81cabe83ba8,erc20-votes,APE(BendDAO),1,0xd97420142211c0C8ACF6276e73d8B7A7b09386BB
apecoin.eth,770469de-06ff-42c3-a320-c81cabe83ba8,erc20-votes,APE (lock up),1,0xc6B740025485104987303E99DD2c54c1369FFe7B
apecoin.eth,770469de-06ff-42c3-a320-c81cabe83ba8,erc20-votes,APE(Para),1,0x29E297cBfDBF0420c05b2c499AFe7F3c7AF816cd
